ID_Organizador,Nombre,Periodo,Privacidad,Tipo_Reto,Tipo_Actividad,Patrocinio
24,"Bahringer, Crooks and Friesen",2021/05/28,true,Altitud,3,14
5,Prohaska and Sons,2020/11/17,true,Fondo,4,20
23,Friesen Group,2021/07/27,false,Fondo,2,46
40,Lindgren-Bruen,2021/05/06,false,Altitud,1,9
13,Windler-Stiedemann,2021/08/02,false,Fondo,2,26
25,Lynch LLC,2021/04/23,false,Fondo,3,50
28,"Gutmann, Johnson and Oberbrunner",2021/01/21,true,Altitud,1,16
33,"Haley, Waters and Thompson",2021/07/22,true,Fondo,6,4
35,Larkin-Howe,2021/06/09,false,Altitud,2,22
22,Schmidt Group,2021/09/15,false,Fondo,4,34
26,"Jast, Wisoky and Jaskolski",2021/01/22,true,Altitud,3,26
42,Block LLC,2021/08/15,true,Altitud,1,45
3,"Tromp, Paucek and Schultz",2020/11/28,true,Fondo,4,14
15,Cruickshank-Gaylord,2021/10/19,true,Fondo,5,30
5,"Reichert, Nolan and Koelpin",2021/05/30,false,Altitud,1,17
12,"Nikolaus, Greenholt and Runolfsson",2021/10/20,true,Fondo,1,1
23,"Stamm, Lang and Pagac",2020/11/24,false,Fondo,5,27
30,"Wisoky, Legros and Hane",2021/09/20,false,Fondo,4,25
34,Gorczany LLC,2020/12/08,false,Fondo,3,21
7,Streich-Franecki,2021/04/08,false,Altitud,6,16
24,Bergnaum-Hilll,2021/03/16,true,Fondo,6,24
24,Dach LLC,2021/10/21,true,Altitud,5,44
12,"Jaskolski, Wilderman and Welch",2021/08/25,true,Altitud,3,4
23,Batz and Sons,2021/09/15,true,Fondo,3,24
18,Franecki Group,2021/03/27,true,Altitud,1,44
23,Bashirian-Kuhlman,2021/01/28,true,Altitud,6,47
38,Morissette-Satterfield,2021/04/04,true,Fondo,3,23
16,Crona LLC,2020/11/25,true,Fondo,1,22
16,Douglas-Moen,2021/03/06,false,Altitud,4,15
41,"Kutch, Powlowski and Conn",2021/10/31,false,Altitud,3,32
9,Marvin-Hahn,2020/11/21,true,Altitud,4,13
30,"Schinner, Towne and Mertz",2021/10/16,true,Fondo,1,7
16,Mitchell and Sons,2021/10/01,true,Altitud,2,7
43,Yost-Zieme,2021/08/14,false,Fondo,4,33
17,Hagenes-Bernier,2020/12/07,true,Altitud,2,39
2,Dare Inc,2021/07/25,false,Altitud,1,49
46,Smith-Balistreri,2020/11/17,false,Altitud,4,40
50,Hamill-Wiegand,2021/06/08,true,Altitud,4,38
34,"Schiller, Runte and Moore",2021/03/12,true,Fondo,2,18
47,Hansen and Sons,2020/12/03,true,Altitud,3,28
40,Rippin-Bergnaum,2021/02/07,true,Altitud,4,10
40,Schamberger-Herzog,2021/05/03,false,Altitud,5,13
26,Anderson-Runolfsdottir,2021/08/09,false,Altitud,2,32
30,Weber and Sons,2021/05/28,true,Altitud,1,33
42,Rath-Blanda,2021/10/07,false,Altitud,1,39
15,"Cartwright, Swaniawski and Daniel",2021/07/15,false,Altitud,2,11
44,"Rolfson, Kerluke and Yundt",2021/02/02,true,Fondo,4,5
43,Feest-Hegmann,2021/05/22,false,Altitud,6,28
50,Mayert-Hane,2020/12/23,true,Altitud,1,40
7,Hegmann-Howe,2021/10/03,true,Fondo,1,32
